incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152097957,2015-11-26 02:00:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152098594,2015-11-28 21:45:00+00,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I152098729,2015-11-29 15:10:00+00,D4,Non-Fatal,Male,White,Hispanic or Latinx,f
I152098897,2015-11-30 12:19:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152100461,2015-12-05 12:55:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152100585,2015-12-05 20:32:00+00,C6,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152100622,2015-12-05 23:10:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152101582,2015-12-09 01:32:00+00,D4,Fatal,Male,Black or African American,Hispanic or Latinx,f
I152101840,2015-12-09 20:22:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152102506,2015-12-12 02:10:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152085872,2015-10-15 23:14:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103493,2015-12-15 16:32:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103255,2015-12-14 20:01:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103817,2015-12-16 17:59:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103866,2015-12-16 21:54:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103899,2015-12-17 00:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103905,2015-12-17 02:12:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152104401,2015-12-18 16:00:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105038,2015-12-20 21:41:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105346,2015-12-21 21:45:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152105891,2015-12-23 18:19:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105851,2015-12-23 15:39:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152105851,2015-12-23 15:14:54+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152106846,2015-12-27 20:22:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106597,2015-12-26 21:17:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106575,2015-12-26 20:33:00+00,A15,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106565,2015-12-26 19:27:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106351,2015-12-25 17:27:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152107190,2015-12-29 08:47:00+00,B3,Fatal,Male,White,Hispanic or Latinx,t
I152107190,2015-12-29 08:47:00+00,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I152107623,2015-12-30 22:56:00+00,A7,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152107617,2015-12-30 21:55:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162000112,2016-01-01 05:30:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I162002449,2016-01-09 16:15:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162002052,2016-01-08 10:25:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I162002573,2016-01-10 01:36:00+00,A7,Fatal,Male,White,Hispanic or Latinx,f
